group,with_criteria,threatened,A,B,C,D,E
All,35.38098050797401,31.896042528056707,14.212962962962964,84.25925925925925,6.620370370370371,9.907407407407408,0
Legumes,29.668902834884225,26.03332611988747,10.640066500415628,85.70241064006649,4.322527015793849,8.31255195344971,0
Myrcia,44.83627204030227,41.56171284634761,23.636363636363637,80.60606060606061,1.2121212121212122,2.4242424242424243,0
Orchids,48.289623717217786,45.1539338654504,17.67676767676768,82.82828282828282,11.237373737373735,13.88888888888889,0
